nivel_territorial_codigo,nivel_territorial_nome,territorio_codigo,territorio_nome,ano_codigo,ano_nome,variavel_codigo,variavel_nome,unidade,produto_codigo,produto_nome,valor,valor_is_inibido
N1,Brasil,1,Brasil,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),12965678.0,0
N1,Brasil,1,Brasil,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),12410677.0,0
N1,Brasil,1,Brasil,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),11549425.0,0
N1,Brasil,1,Brasil,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),12613094.0,0
N1,Brasil,1,Brasil,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),13767431.0,0
N1,Brasil,1,Brasil,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),14444582.0,0
N1,Brasil,1,Brasil,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),13654715.0,0
N1,Brasil,1,Brasil,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),12678875.0,0
N1,Brasil,1,Brasil,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),13218892.0,0
N1,Brasil,1,Brasil,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),14198496.0,0
N1,Brasil,1,Brasil,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),15279652.0,0
N1,Brasil,1,Brasil,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),15432909.0,0
N1,Brasil,1,Brasil,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),15409183.0,0
N1,Brasil,1,Brasil,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),14970502.0,0
N1,Brasil,1,Brasil,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),17427206.0,0
N1,Brasil,1,Brasil,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),16126368.0,0
N1,Brasil,1,Brasil,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),17515920.0,0
N1,Brasil,1,Brasil,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),18258981.0,0
N1,Brasil,1,Brasil,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),18984300.0,0
N1,Brasil,1,Brasil,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),21066401.0,0
N1,Brasil,1,Brasil,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),22315010.0,0
N1,Brasil,1,Brasil,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),21186816.0,0
N3,Unidade da Federação,23,Ceará,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),707891.0,0
N3,Unidade da Federação,23,Ceará,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),655677.0,0
N3,Unidade da Federação,23,Ceará,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),566846.0,0
N3,Unidade da Federação,23,Ceará,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),639205.0,0
N3,Unidade da Federação,23,Ceará,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),674041.0,0
N3,Unidade da Federação,23,Ceará,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),675480.0,0
N3,Unidade da Federação,23,Ceará,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),691632.0,0
N3,Unidade da Federação,23,Ceará,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),551984.0,0
N3,Unidade da Federação,23,Ceará,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),725301.0,0
N3,Unidade da Federação,23,Ceará,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),497598.0,0
N3,Unidade da Federação,23,Ceará,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),355871.0,0
N3,Unidade da Federação,23,Ceará,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),472059.0,0
N3,Unidade da Federação,23,Ceará,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),495682.0,0
N3,Unidade da Federação,23,Ceará,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),473696.0,0
N3,Unidade da Federação,23,Ceará,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),562831.0,0
N3,Unidade da Federação,23,Ceará,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),570213.0,0
N3,Unidade da Federação,23,Ceará,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),521473.0,0
N3,Unidade da Federação,23,Ceará,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),537704.0,0
N3,Unidade da Federação,23,Ceará,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),557785.0,0
N3,Unidade da Federação,23,Ceará,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),583065.0,0
N3,Unidade da Federação,23,Ceará,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),599578.0,0
N3,Unidade da Federação,23,Ceará,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),572172.0,0
N6,Município,2300101,Abaiara - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),2800.0,0
N6,Município,2300101,Abaiara - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),2660.0,0
N6,Município,2300101,Abaiara - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),1158.0,0
N6,Município,2300101,Abaiara - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),1440.0,0
N6,Município,2300101,Abaiara - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),3810.0,0
N6,Município,2300101,Abaiara - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),1870.0,0
N6,Município,2300101,Abaiara - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),2000.0,0
N6,Município,2300101,Abaiara - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),2062.0,0
N6,Município,2300101,Abaiara - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),2337.0,0
N6,Município,2300101,Abaiara - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),2244.0,0
N6,Município,2300101,Abaiara - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),1436.0,0
N6,Município,2300101,Abaiara - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),1490.0,0
N6,Município,2300101,Abaiara - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),738.0,0
N6,Município,2300101,Abaiara - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),500.0,0
N6,Município,2300101,Abaiara - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),1530.0,0
N6,Município,2300101,Abaiara - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),1836.0,0
N6,Município,2300101,Abaiara - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),1590.0,0
N6,Município,2300101,Abaiara - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),1600.0,0
N6,Município,2300101,Abaiara - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),1700.0,0
N6,Município,2300101,Abaiara - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),1702.0,0
N6,Município,2300101,Abaiara - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),2520.0,0
N6,Município,2300101,Abaiara - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),2300.0,0
N6,Município,2300150,Acarape - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),505.0,0
N6,Município,2300150,Acarape - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),490.0,0
N6,Município,2300150,Acarape - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),590.0,0
N6,Município,2300150,Acarape - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),470.0,0
N6,Município,2300150,Acarape - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),525.0,0
N6,Município,2300150,Acarape - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),535.0,0
N6,Município,2300150,Acarape - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),579.0,0
N6,Município,2300150,Acarape - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),397.0,0
N6,Município,2300150,Acarape - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),530.0,0
N6,Município,2300150,Acarape - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),385.0,0
N6,Município,2300150,Acarape - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),339.0,0
N6,Município,2300150,Acarape - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),425.0,0
N6,Município,2300150,Acarape - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),395.0,0
N6,Município,2300150,Acarape - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),380.0,0
N6,Município,2300150,Acarape - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),345.0,0
N6,Município,2300150,Acarape - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),340.0,0
N6,Município,2300150,Acarape - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),400.0,0
N6,Município,2300150,Acarape - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),410.0,0
N6,Município,2300150,Acarape - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),414.0,0
N6,Município,2300150,Acarape - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),410.0,0
N6,Município,2300150,Acarape - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),430.0,0
N6,Município,2300150,Acarape - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),450.0,0
N6,Município,2300200,Acaraú - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),2565.0,0
N6,Município,2300200,Acaraú - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),3100.0,0
N6,Município,2300200,Acaraú - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),2680.0,0
N6,Município,2300200,Acaraú - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),2546.0,0
N6,Município,2300200,Acaraú - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),2900.0,0
N6,Município,2300200,Acaraú - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),2958.0,0
N6,Município,2300200,Acaraú - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),2356.0,0
N6,Município,2300200,Acaraú - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),2960.0,0
N6,Município,2300200,Acaraú - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),3400.0,0
N6,Município,2300200,Acaraú - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),3000.0,0
N6,Município,2300200,Acaraú - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),2300.0,0
N6,Município,2300200,Acaraú - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),2154.0,0
N6,Município,2300200,Acaraú - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),2375.0,0
N6,Município,2300200,Acaraú - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),2399.0,0
N6,Município,2300200,Acaraú - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),2750.0,0
N6,Município,2300200,Acaraú - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),3025.0,0
N6,Município,2300200,Acaraú - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),2199.0,0
N6,Município,2300200,Acaraú - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),2500.0,0
N6,Município,2300200,Acaraú - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),3000.0,0
N6,Município,2300200,Acaraú - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),3060.0,0
N6,Município,2300200,Acaraú - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),3303.0,0
N6,Município,2300200,Acaraú - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),2120.0,0
N6,Município,2300309,Acopiara - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),10145.0,0
N6,Município,2300309,Acopiara - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),10740.0,0
N6,Município,2300309,Acopiara - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),7531.0,0
N6,Município,2300309,Acopiara - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),7290.0,0
N6,Município,2300309,Acopiara - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),11400.0,0
N6,Município,2300309,Acopiara - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),9600.0,0
N6,Município,2300309,Acopiara - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),10860.0,0
N6,Município,2300309,Acopiara - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),9090.0,0
N6,Município,2300309,Acopiara - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),10980.0,0
N6,Município,2300309,Acopiara - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),10800.0,0
N6,Município,2300309,Acopiara - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),10810.0,0
N6,Município,2300309,Acopiara - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),10820.0,0
N6,Município,2300309,Acopiara - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),15000.0,0
N6,Município,2300309,Acopiara - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),12000.0,0
N6,Município,2300309,Acopiara - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),9693.0,0
N6,Município,2300309,Acopiara - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),9000.0,0
N6,Município,2300309,Acopiara - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),8500.0,0
N6,Município,2300309,Acopiara - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),8400.0,0
N6,Município,2300309,Acopiara - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),10700.0,0
N6,Município,2300309,Acopiara - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),12700.0,0
N6,Município,2300309,Acopiara - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),15600.0,0
N6,Município,2300309,Acopiara - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),12500.0,0
N6,Município,2300408,Aiuaba - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),4200.0,0
N6,Município,2300408,Aiuaba - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),5200.0,0
N6,Município,2300408,Aiuaba - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),6200.0,0
N6,Município,2300408,Aiuaba - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),6830.0,0
N6,Município,2300408,Aiuaba - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),6950.0,0
N6,Município,2300408,Aiuaba - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),7685.0,0
N6,Município,2300408,Aiuaba - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),7920.0,0
N6,Município,2300408,Aiuaba - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),8160.0,0
N6,Município,2300408,Aiuaba - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),8944.0,0
N6,Município,2300408,Aiuaba - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),8212.0,0
N6,Município,2300408,Aiuaba - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),4744.0,0
N6,Município,2300408,Aiuaba - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),7533.0,0
N6,Município,2300408,Aiuaba - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),7400.0,0
N6,Município,2300408,Aiuaba - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),7070.0,0
N6,Município,2300408,Aiuaba - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),6400.0,0
N6,Município,2300408,Aiuaba - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),5000.0,0
N6,Município,2300408,Aiuaba - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),5100.0,0
N6,Município,2300408,Aiuaba - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),6000.0,0
N6,Município,2300408,Aiuaba - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),5000.0,0
N6,Município,2300408,Aiuaba - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),4500.0,0
N6,Município,2300408,Aiuaba - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),4800.0,0
N6,Município,2300408,Aiuaba - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),3960.0,0
N6,Município,2300507,Alcântaras - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),1363.0,0
N6,Município,2300507,Alcântaras - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),1069.0,0
N6,Município,2300507,Alcântaras - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),1071.0,0
N6,Município,2300507,Alcântaras - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),1025.0,0
N6,Município,2300507,Alcântaras - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),1086.0,0
N6,Município,2300507,Alcântaras - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),1088.0,0
N6,Município,2300507,Alcântaras - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),1100.0,0
N6,Município,2300507,Alcântaras - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),1479.0,0
N6,Município,2300507,Alcântaras - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),1400.0,0
N6,Município,2300507,Alcântaras - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),1120.0,0
N6,Município,2300507,Alcântaras - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),545.0,0
N6,Município,2300507,Alcântaras - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),300.0,0
N6,Município,2300507,Alcântaras - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),450.0,0
N6,Município,2300507,Alcântaras - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),580.0,0
N6,Município,2300507,Alcântaras - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),550.0,0
N6,Município,2300507,Alcântaras - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),800.0,0
N6,Município,2300507,Alcântaras - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),810.0,0
N6,Município,2300507,Alcântaras - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),820.0,0
N6,Município,2300507,Alcântaras - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),825.0,0
N6,Município,2300507,Alcântaras - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),840.0,0
N6,Município,2300507,Alcântaras - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),740.0,0
N6,Município,2300507,Alcântaras - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),598.0,0
N6,Município,2300606,Altaneira - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),630.0,0
N6,Município,2300606,Altaneira - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),550.0,0
N6,Município,2300606,Altaneira - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),600.0,0
N6,Município,2300606,Altaneira - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),610.0,0
N6,Município,2300606,Altaneira - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),1370.0,0
N6,Município,2300606,Altaneira - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),1360.0,0
N6,Município,2300606,Altaneira - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),1400.0,0
N6,Município,2300606,Altaneira - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),1600.0,0
N6,Município,2300606,Altaneira - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),1050.0,0
N6,Município,2300606,Altaneira - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),990.0,0
N6,Município,2300606,Altaneira - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),1010.0,0
N6,Município,2300606,Altaneira - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),890.0,0
N6,Município,2300606,Altaneira - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),700.0,0
N6,Município,2300606,Altaneira - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),1000.0,0
N6,Município,2300606,Altaneira - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),800.0,0
N6,Município,2300606,Altaneira - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),700.0,0
N6,Município,2300606,Altaneira - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),600.0,0
N6,Município,2300606,Altaneira - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),850.0,0
N6,Município,2300606,Altaneira - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),1000.0,0
N6,Município,2300606,Altaneira - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),1100.0,0
N6,Município,2300606,Altaneira - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),1000.0,0
N6,Município,2300606,Altaneira - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),1150.0,0
N6,Município,2300705,Alto Santo - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),600.0,0
N6,Município,2300705,Alto Santo - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),450.0,0
N6,Município,2300705,Alto Santo - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),235.0,0
N6,Município,2300705,Alto Santo - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),500.0,0
N6,Município,2300705,Alto Santo - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),450.0,0
N6,Município,2300705,Alto Santo - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),630.0,0
N6,Município,2300705,Alto Santo - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),550.0,0
N6,Município,2300705,Alto Santo - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),250.0,0
N6,Município,2300705,Alto Santo - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),440.0,0
N6,Município,2300705,Alto Santo - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),154.0,0
N6,Município,2300705,Alto Santo - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),0.0,0
N6,Município,2300705,Alto Santo - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),41.0,0
N6,Município,2300705,Alto Santo - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),229.0,0
N6,Município,2300705,Alto Santo - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),403.0,0
N6,Município,2300705,Alto Santo - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),300.0,0
N6,Município,2300705,Alto Santo - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),305.0,0
N6,Município,2300705,Alto Santo - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),1010.0,0
N6,Município,2300705,Alto Santo - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),310.0,0
N6,Município,2300705,Alto Santo - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),340.0,0
N6,Município,2300705,Alto Santo - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),455.0,0
N6,Município,2300705,Alto Santo - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),242.0,0
N6,Município,2300705,Alto Santo - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),175.0,0
N6,Município,2300754,Amontada - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),6745.0,0
N6,Município,2300754,Amontada - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),7176.0,0
N6,Município,2300754,Amontada - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),7098.0,0
N6,Município,2300754,Amontada - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),7027.0,0
N6,Município,2300754,Amontada - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),7032.0,0
N6,Município,2300754,Amontada - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),7067.0,0
N6,Município,2300754,Amontada - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),6125.0,0
N6,Município,2300754,Amontada - CE,2010,2010,216,Área colhida,Hectares,40122,Milho (em grão),4962.0,0
N6,Município,2300754,Amontada - CE,2011,2011,216,Área colhida,Hectares,40122,Milho (em grão),7140.0,0
N6,Município,2300754,Amontada - CE,2012,2012,216,Área colhida,Hectares,40122,Milho (em grão),6945.0,0
N6,Município,2300754,Amontada - CE,2013,2013,216,Área colhida,Hectares,40122,Milho (em grão),4666.0,0
N6,Município,2300754,Amontada - CE,2014,2014,216,Área colhida,Hectares,40122,Milho (em grão),4960.0,0
N6,Município,2300754,Amontada - CE,2015,2015,216,Área colhida,Hectares,40122,Milho (em grão),5200.0,0
N6,Município,2300754,Amontada - CE,2016,2016,216,Área colhida,Hectares,40122,Milho (em grão),4680.0,0
N6,Município,2300754,Amontada - CE,2017,2017,216,Área colhida,Hectares,40122,Milho (em grão),4118.0,0
N6,Município,2300754,Amontada - CE,2018,2018,216,Área colhida,Hectares,40122,Milho (em grão),4241.0,0
N6,Município,2300754,Amontada - CE,2019,2019,216,Área colhida,Hectares,40122,Milho (em grão),3944.0,0
N6,Município,2300754,Amontada - CE,2020,2020,216,Área colhida,Hectares,40122,Milho (em grão),4141.0,0
N6,Município,2300754,Amontada - CE,2021,2021,216,Área colhida,Hectares,40122,Milho (em grão),4350.0,0
N6,Município,2300754,Amontada - CE,2022,2022,216,Área colhida,Hectares,40122,Milho (em grão),4400.0,0
N6,Município,2300754,Amontada - CE,2023,2023,216,Área colhida,Hectares,40122,Milho (em grão),4298.0,0
N6,Município,2300754,Amontada - CE,2024,2024,216,Área colhida,Hectares,40122,Milho (em grão),4320.0,0
N6,Município,2300804,Antonina do Norte - CE,2003,2003,216,Área colhida,Hectares,40122,Milho (em grão),1058.0,0
N6,Município,2300804,Antonina do Norte - CE,2004,2004,216,Área colhida,Hectares,40122,Milho (em grão),1118.0,0
N6,Município,2300804,Antonina do Norte - CE,2005,2005,216,Área colhida,Hectares,40122,Milho (em grão),929.0,0
N6,Município,2300804,Antonina do Norte - CE,2006,2006,216,Área colhida,Hectares,40122,Milho (em grão),1497.0,0
N6,Município,2300804,Antonina do Norte - CE,2007,2007,216,Área colhida,Hectares,40122,Milho (em grão),1795.0,0
N6,Município,2300804,Antonina do Norte - CE,2008,2008,216,Área colhida,Hectares,40122,Milho (em grão),1561.0,0
N6,Município,2300804,Antonina do Norte - CE,2009,2009,216,Área colhida,Hectares,40122,Milho (em grão),1200.0,0
